LOC_ID,gene_ID,unitpro,up_evalue,cel,cel_evalue,dmel,dmel_evalue,spur_acc,spur_evalue
LOC105319044,putative transcription factor p65 homolog,P15330.2,3.96e-99,T25F10.2.2,2.4,dl-PB,1.26e-104,NP_999819.1,5.94e-80
Crt,calreticulin,P15253.1,0,Y38A10A.5.2,3.97e-165,Calr-PB,7.67e-127,XP_030835922.1,0
LOC105334663,acid ceramidase-like,A0A0P6JG37.1,2.52e-150,K11D2.2.3,3.99e-128,Galk-PD,3.8,XP_784832.2,1.33e-146
LOC105319824,NF-kappa-B inhibitor alpha-like,P83757.1,5.26e-38,B0350.2f.2,1.27e-15,cact-PC,1.31e-38,XP_780345.1,1.27e-32
LOC105323667,metalloproteinase inhibitor 2-like,P26652.2,1.02e-17,K07C11.5.2,0.25,Timp-PB,1.66e-13,XP_030828686.1,6.88e-20
LOC105339544,hypoxia-inducible factor 1-alpha-like,Q98SW2.1,1.57e-122,F38A6.3a.1,9.09e-44,sima-PB,3.5e-90,XP_030854578.1,4.73e-122
LOC105327516,soma ferritin-like,P42577.2,4.48e-102,D1037.3.2,1.6e-74,Fer3HCH-PA,2.17e-49,XP_030844960.1,1.28e-80
LOC105323677,metalloproteinase inhibitor 3-like,P26652.2,1.85e-21,K07C11.5.2,2.9,Timp-PB,1.76e-13,XP_030828226.1,4.31e-20
LOC105343391,"isocitrate dehydrogenase [NADP], mitochondrial-like",Q4R502.1,0,C34F6.8.3,0,Idh-PJ,0,XP_785580.4,0
LOC105332129,"glycogen phosphorylase, muscle form-like",Q9WUB3.3,0,T22F3.3b.1,0,GlyP-PB,0,XP_030854392.1,0
G6pd,glucose-6-phosphate dehydrogenase,P05370.3,0,B0035.5.1,0,Zw-PA,0,XP_030829359.1,0
Rps20,ribosomal protein S20,P23403.1,8.88e-71,Y105E8A.16.2,4.4e-60,RpS20-PA,5.75e-64,XP_782034.1,5.77e-70
LOC105344940,interleukin-1 receptor-associated kinase 1-binding protein 1-like,Q5VVH5.1,1.75e-58,C54D2.6.1,0.13,CG9344-PA,3.6,XP_030850617.1,1.01e-64
LOC105327279,ubiquitin-like protein FUBI,P0C2F0.1,1.4e-21,C26F1.4.3,8.3e-29,RpS30-PC,2.75e-38,XP_783271.3,1.47e-50
Aif1,allograft inflammatory factor 1,P55008.1,3.61e-55,T21H3.3a.1,1.27e-13,Swip-1-PB,1.28e-13,XP_030853548.1,1.11e-45
Cg_lysoz3,lysozyme-like,Q6L6Q6.1,3.84e-54,C45G7.2.1,2.1e-27,CG6421-PA,2.83e-10,XP_792095.1,3.76e-25
LOC105324984,leucine-rich repeat-containing G-protein coupled receptor 5-like,F7D3V9.2,1.25e-144,C50H2.1a.1,4.52e-66,rk-PA,0,XP_030844679.1,0
LOC105325240,sodium- and chloride-dependent taurine transporter-like,P31649.1,0,T03F7.1.1,0,Gat-PA,0,XP_030827834.1,0
LOC105329080,calcitonin gene-related peptide type 1 receptor-like,Q68EK2.1,1.17e-63,ZK643.3b.1,1.51e-41,Dh31-R-PB,8.48e-40,XP_030846623.1,1.51e-45
LOC105327034,tRNA wybutosine-synthesizing protein 5-like,A2RSX7.2,2.02e-139,C06H2.3a.1,1.27e-10,JMJD5-PC,8.78e-12,XP_787777.3,7.07e-132
LOC105342397,ubiquitin-40S ribosomal protein S27a,P79781.3,4.23e-96,H06I04.4a.3,9.15e-50,RpS27A-PA,8.85e-75,XP_030855470.1,5.23e-110
LOC105340608,"beta-1,3-glucan-binding protein-like",Q8N0N3.1,1.41e-118,Y45F10D.3a.1,3.7,GNBP1-PA,2.03e-39,XP_030836568.1,1.79e-159
Ace,angiotensin I converting enzyme,P12821.1,5e-172,C42D8.5a.2,8.29e-56,Acer-PB,3.16e-140,XP_798092.2,4.5e-180
LOC105345989,heat shock protein 83-like,P30946.2,0,C47E8.5.4,0,Hsp83-PB,0,XP_030837128.1,0
Egfr,epidermal growth factor receptor,P0CY46.1,0,ZK1067.1d.1,0,Egfr-PA,0,XP_030830509.1,0
Myd88,myeloid differentiation primary response 88,A8QMS7.1,5.21e-51,C07F11.1.1,0.098,Myd88-PC,1.46e-11,XP_780590.1,1.41e-49
LOC105318607,TGF-beta receptor type-1-like,Q64729.1,0,C32D5.2.1,2.01e-79,babo-PB,0,XP_798456.4,1.18e-163
LOC105322704,"alternative oxidase, mitochondrial-like",Q9P959.2,1.44e-85,F59E12.9.1,0.74,CG1461-PB,0.47,XP_030855905.1,5.05e-113
LOC105344976,3-ketodihydrosphingosine reductase-like,Q6GV12.1,5.93e-121,Y37E11AM.3b.1,2.43e-80,CG10425-PA,4.41e-72,XP_030831238.1,4.63e-123
LOC105340370,78 kDa glucose-regulated protein,Q16956.1,0,C15H9.6a.5,0,Hsc70-3-PE,0,XP_030852973.1,0
LOC105331668,tubulin beta chain-like,P11833.1,0,B0272.1.1,0,betaTub56D-PB,0,XP_030840698.1,0
LOC105341397,"beta-1,3-glucan-binding protein-like",Q8N0N3.1,2.03e-68,T02H6.1b.1,1,GNBP3-PA,1.1e-21,XP_011669703.1,8.61e-77
LOC105337046,akirin-2-like,Q5FWN7.1,4.56e-48,E01A2.6.3,3.17e-11,akirin-PF,3.48e-28,XP_796196.2,3.02e-43
LOC105347800,40S ribosomal protein S18,Q8IT98.1,1.98e-102,Y57G11C.16.1,2.86e-89,RpS18-PA,9.22e-74,XP_794924.2,2.23e-97
LOC105321692,cytochrome P450 2C31-like,P51589.2,1.53e-65,Y17D7A.4.1,1.01e-41,Cyp305a1-PA,9.42e-42,XP_030835752.1,1.42e-65
LOC105341412,40S ribosomal protein S10-like,O77302.1,1.02e-80,D1007.6.1,1.27e-47,RpS10b-PE,2.32e-52,XP_785610.2,1.77e-74
LOC105343974,caspase-2-like,Q98943.2,6.12e-40,C48D1.2b.1,2.36e-32,Dronc-PA,4.42e-24,XP_030842855.1,6.36e-57
Ecsit,ECSIT signalling integrator,Q9U6M0.2,7.9e-62,Y17G9B.5.1,3e-37,ECSIT-PA,1.82e-51,XP_030840401.1,2.36e-49
LOC105324776,peptidyl-prolyl cis-trans isomerase-like,P54985.1,1.33e-93,Y49A3A.5.1,1.04e-87,Cyp1-PA,7.08e-93,XP_790143.3,1.9e-91
LOC105329640,"tubulin alpha chain, testis-specific",P41383.1,0,C44B11.3.1,0,alphaTub84B-PA,0,XP_795276.3,0
LOC105321707,small cardioactive peptides-like,Q4UJT0.1,0.15,F42H10.7a.1,1.1,CG43672-PB,8.6,XP_011662230.2,0.61
Rps5,ribosomal protein S5,P46782.4,1.57e-135,T05E11.1.1,3.95e-128,RpS5a-PD,8.63e-130,XP_011671177.1,3.22e-132
LOC105328117,heat shock factor protein-like,P38529.1,1.08e-87,Y53C10A.12.1,2.99e-44,Hsf-PA,4.78e-63,XP_030830941.1,2.33e-56
LOC105344505,calnexin-like,Q5R440.2,0,ZK632.6a.1,8.13e-164,Cnx99A-PD,5.17e-143,XP_791226.3,0
LOC105333243,complement C3-like,P01026.3,2.13e-167,ZK337.1a.3,7.42e-95,Tep2-PB,3.42e-56,NP_999686.1,0
LOC105322492,integrin beta-1-B-like,B0FYY4.1,0,ZK1058.2.1,0,mys-PD,0,XP_030846197.1,0
LOC105339901,catalase-like,P04040.3,0,Y54G11A.5.2,0,Cat-PA,0,XP_030843626.1,0
LOC105320719,melatonin receptor type 1A-like,P49286.1,1.94e-25,F41E7.3.1,4.21e-11,RYa-R-PA,7.37e-13,XP_030845688.1,3.07e-50
LOC105342739,"peptidoglycan-recognition protein SC2-like_transcript variant 1, mRNA",Q70PU1.1,1.04e-47,ZK678.1.2,1.9,PGRP-SC2-PA,4.26e-48,XP_030830526.1,1.33e-49
LOC105322262,glutamine synthetase 2 cytoplasmic-like,P20478.3,0,Y105C5B.28a.1,0,Gs2-PD,0,XP_030853466.1,0
LOC105324314,serine palmitoyltransferase 1-like,O35704.2,0,C23H3.4a.2,1.58e-170,Spt-I-PC,2.94e-155,XP_011660643.1,0
LOC105342241,hypothetical protein,C4NYZ3.2,0.077,T23G11.5a.1,0.46,waw-PA,1.1,XP_030839411.1,0.052
LOC105322542,interleukin 17-like protein,A9XE49.1,1.59e-148,F25D1.3.1,1.52e-05,CG14194-PA,2.9,XP_030848450.1,2.63e-12
Tlr1,toll-like receptor 1,Q6R5N8.1,7.7e-38,C44H4.1.1,4.21e-14,Toll-9-PB,1.5e-16,XP_011684029.2,8.81e-33
LOC105347124,mitogen-activated protein kinase 14A-like,P47812.1,0,B0218.3.1,8.64e-160,p38b-PA,1.67e-171,XP_783033.2,6.02e-169
LOC105323317,fas-associated death domain protein-like,Q61160.1,1.36e-08,T05A10.1f.1,1.3,Fadd-PA,0.002,XP_030835162.1,3.06e-10
LOC105340469,actin,O17320.1,0,T04C12.5.3,0,Act5C-PE,0,XP_030852862.1,0
LOC105343291,cofilin-like,Q6C0Y0.1,8.04e-30,C38C3.5.1,3.72e-18,tsr-PA,2.35e-21,XP_030855558.1,2.28e-06
LOC105331526,opine dehydrogenase-like,Q8N0N9.1,5.51e-150,F11C3.1.1,0.15,CG11951-PD,0.64,XP_030850038.1,2.3
LOC105319754,molluscan insulin-related peptide 3-like,A0A0B5A7M7.1,5.01e-14,Y32F6A.3.2,0.64,hrg-PB,5.3,XP_030843954.1,0.22
LOC105332575,putative chitinase,P86955.1,0,C04F6.3.1,5.88e-49,Cht7-PA,1.51e-47,XP_030850869.1,0.32
LOC105340517,transcription factor Sox-8-like,Q6VVD7.1,1.9e-75,K08A8.2a.3,4.8e-31,Sox100B-PA,2.59e-40,XP_786809.2,1.79e-55
LOC105318255,NF-kappa-B inhibitor epsilon-like,O54910.2,1.78e-40,B0350.2f.2,2.47e-20,cact-PE,2.72e-35,XP_030833600.1,1.7e-32
LOC105346419,mothers against decapentaplegic homolog 6-like,Q9W734.1,5.18e-91,ZK370.2.2,8.54e-24,Dad-PC,1.61e-37,XP_798238.2,1.52e-83
LOC105346675,hexokinase-2-like,Q9NFT7.4,3.25e-152,F14B4.2b.1,3.04e-172,Hex-A-PA,0,XP_030841639.1,8.36e-159
LOC105329785,epididymal secretory glutathione peroxidase-like,P30710.1,1.99e-37,C11E4.2.1,1.86e-23,PHGPx-PD,1.44e-12,XP_030855333.1,1.28e-22
LOC105340543,feeding circuit activating peptides-like,Q8ISH7.1,2.63e-46,D1009.4a.1,3.37e-20,,,XP_030843111.1,4.11e-07
LOC105343370,inhibitor of nuclear factor kappa-B kinase subunit alpha-like,Q5ZJB4.1,0,Y60A3A.1.1,1.35e-29,IKKbeta-PB,2.53e-47,XP_030835254.1,2.35e-90
LOC105349013,superoxide dismutase [Cu-Zn]-like,Q08420.2,1.56e-11,F55H2.1b.1,0.00013,Ccs-PB,0.017,XP_030835578.1,6.94e-12
LOC105335713,"actin, adductor muscle",Q26065.1,0,M03F4.2a.1,0,Act42A-PA,0,XP_011661664.1,0
Btg1,"B-cell translocation gene 1, anti-proliferative",P62324.1,1.4e-47,C03C11.2.1,7.04e-06,Tob-PF,1.73e-23,XP_786322.2,4.71e-36
LOC105331625,probable glutathione S-transferase 8,P91254.1,3.69e-39,F11G11.1.1,3.25e-40,GstS1-PC,2.21e-27,XP_030835609.1,4.14e-40
LOC105319597,forkhead box protein L2-like,Q6VFT6.1,4.28e-55,C47G2.2.1,5.43e-36,FoxL1-PB,2.24e-35,XP_001200755.1,5.15e-45
Tlr4,toll-like receptor 4,Q6R5N8.1,1.43e-31,C07F11.1.1,2.55e-14,Tl-PD,1.93e-24,XP_030839961.1,4.94e-40
LOC105332415,interleukin 17-like protein,Q8TAD2.1,0.000416,F25D1.3.1,0.007,Wdr59-PD,1.2,XP_030849761.1,8.3e-06
LOC105338304,doublesex- and mab-3-related transcription factor A2-like,A4QNP7.1,3.17e-66,F10C1.5.1,3.12e-37,dmrt99B-PA,2.65e-24,XP_786938.3,1.19e-42
LOC105335489,"tropomyosin_transcript variant 2, mRNA",Q25145.1,1.16e-156,Y105E8B.1a.1,1.13e-99,Tm1-PO,1.31e-76,XP_003726504.1,4.05e-55
LOC105318598,glutathione S-transferase omega-1-like,P78417.2,1.51e-62,C02D5.4.1,1.14e-43,GstO3-PA,2.7e-53,XP_783642.2,2e-54
LOC105318860,ras-related protein Rab-20-like,P35295.2,2.95e-43,F26H9.6.1,6.13e-24,Rab26-PG,1.32e-23,XP_788580.1,8.16e-67
LOC105348305,heat shock protein 68-like,P41827.1,0,F26D10.3.2,0,Hsp68-PA,0,XP_030853604.1,0
LOC105333462,nacrein-like protein,P86856.1,1.43e-41,D1022.8.1,4.42e-14,CAH6-PB,4.59e-17,XP_003725538.2,7.23e-15
LOC105346262,"superoxide dismutase [Mn], mitochondrial-like",P41976.1,3.07e-102,F10D11.1.3,3.01e-93,Sod2-PB,3.97e-84,XP_785278.3,1.38e-98
LOC105322484,heat shock protein 68-like,O97125.1,0,F26D10.3.2,0,Hsp70Ba-PA,0,XP_030833416.1,0
LOC105320382,suppressor of cytokine signaling 5-like,O54928.2,7.7e-83,F39B2.5.1,7.1e-09,Socs36E-PC,1.63e-74,XP_011667623.2,1.03e-79
LOC105321025,charged multivesicular body protein 5-like,Q4QQV8.1,7.76e-110,F41E6.9.1,9.17e-77,Vps60-PB,1.46e-79,XP_786663.1,2.29e-96
LOC105317035,D-aspartate oxidase,P31228.2,3.65e-81,Y69A2AR.5.1,1.7e-55,Daao1-PB,7.78e-63,XP_787922.3,4.01e-74
LOC105317040,uncharacterized LOC105317040,Q58603.1,2.8,W03D8.6d.2,0.14,,,XP_030843282.1,3.4
LOC105317054,PDZ and LIM domain protein Zasp,A1ZA47.2,1.84e-10,C48D5.2a.3,1.44e-06,Zasp52-PP,1.22e-11,XP_030837013.1,3.44e-08
LOC105317056,zinc finger and BTB domain-containing protein 11,G5E8B9.1,2.14e-24,F25D7.3a.1,7.9e-18,CG7386-PA,2.08e-23,XP_030845290.1,2.13e-23
LOC105317059,uncharacterized LOC105317059,B3A0P1.1,0.15,Y80D3A.8.1,0.002,Fie-PB,2.2,XP_030833545.1,0.039
LOC105317060,uncharacterized LOC105317060,Q8ILR9.1,0.086,Y54E10A.9c.2,5,side-VII-PB,6.4,,
LOC105317066,mitogen-activated protein kinase HOG1,Q61532.3,1.83e-119,F43C1.2b.1,1.34e-82,rl-PI,7.65e-82,XP_011669368.2,8.53e-121
LOC105317091,uncharacterized LOC105317091,Q8C0D5.1,0.048,F22D3.1p.1,0.12,Nipped-A-PF,5.8,XP_030833545.1,0.005
LOC105317092,uncharacterized LOC105317092,Q5NBU5.2,0.016,K02A6.3a.1,1.13e-47,CG11044-PA,2.44e-80,XP_011677172.2,1.9e-06
LOC105317094,uncharacterized LOC105317094,P08953.1,1.13e-28,C07F11.1.1,1.88e-10,Tollo-PA,4.57e-21,XP_030846053.1,5.9e-28
LOC105317097,uncharacterized LOC105317097,Q9SJU4.2,0.19,Y105C5A.23.1,0.54,CG15482-PA,0.88,XP_030849589.1,2.7
LOC105317098,polyglutamine-binding protein 1,Q2HJC9.1,3.41e-38,T21D12.3.2,3.21e-62,PQBP1-PA,1.24e-24,XP_030828599.1,3.15e-44
LOC105317106,uncharacterized LOC105317106,Q6R7I2.1,5.03e-08,F10D7.5c.1,0.000225,mib1-PB,6.5e-06,XP_030831205.1,1.57e-06
LOC105317108,uncharacterized LOC105317108,A9A871.1,0.22,R74.5c.1,0.92,CG31038-PG,9.7,XP_011665967.1,7.5
LOC105317113,60S ribosomal protein L10a,Q9N4I4.1,3.41e-97,Y71F9AL.13a.2,3.01e-98,RpL10Ab-PA,3.38e-92,XP_030844506.1,2.63e-97
LOC105317115,uncharacterized LOC105317115,P22856.1,1.48e-10,B0546.2b.3,3.08e-06,CG7857-PA,1.65e-09,XP_030831554.1,5.02e-05
LOC105317118,L-ascorbate oxidase,Q8LPL3.1,8.31e-55,F21D5.3a.2,9.49e-78,stw-PG,3.31e-57,XP_030837477.1,2.78e-61
LOC105317117,uncharacterized LOC105317117,Q75LX9.1,0.35,ZK177.6.1,0.26,Dlic-PA,4.3,XP_003725518.1,0.93
LOC105317119,uncharacterized LOC105317119,Q8LPL3.1,8.09e-33,F21D5.3a.2,6.44e-21,Mco1-PC,3.26e-86,XP_030837477.1,3.78e-106
LOC105317120,dual specificity protein phosphatase 22,Q5XHB2.1,2.64e-65,C16A3.2.1,2.41e-20,CG10089-PA,3.28e-55,XP_001199374.3,6.9e-73
LOC105317121,probable cytochrome P450 CYP44,Q09660.2,7.89e-50,ZK177.5.2,6.95e-51,Cyp49a1-PE,7.78e-48,XP_781842.1,2.13e-52
LOC105317123,cytochrome P450 10,P48416.1,4.34e-64,ZK177.5.2,1.8e-48,Cyp12b2-PA,2.32e-62,XP_781842.1,1.36e-69
LOC105317124,uncharacterized LOC105317124,Q6UWX4.1,1.5,K05F1.10.1,2.1,CG34357-PD,2.5,XP_030842431.1,1.72e-44
LOC105317125,phospholipid scramblase 1,Q3ZBG9.1,1.37e-86,ZK1053.5.1,2.49e-68,scramb1-PB,2.14e-65,XP_030842370.1,8.48e-105
LOC105317122,carbonic anhydrase-related protein,P07451.3,2.1e-31,F54D8.4a.1,2.68e-21,CARPB-PD,4.21e-22,XP_003725538.2,9.42e-21
LOC105317126,phospholipase A(2)-like,I7GQA7.1,1.53e-28,F35E12.7a.1,9.6,CG3009-PD,1.08e-26,XP_011678633.1,1.61e-20
LOC105317127,uncharacterized LOC105317127,Q3BUF5.1,0.022,F25H2.12b.1,0.78,SWIP-PB,1.5,XP_030843085.1,0.23
LOC105317131,spindle assembly checkpoint component MAD1,A1L4H1.3,3.77e-28,C06B8.7.1,4.58e-06,Loxl2-PA,1.63e-19,XP_030853876.1,8.78e-30
LOC105317128,location of vulva defective 1,P92916.1,0.81,Y39B6A.30.1,0.63,,,XP_030847759.1,0.46
LOC105317134,uncharacterized LOC105317134,Q9R0H2.1,0.088,F23B2.4.1,1.2,,,XP_030832262.1,6.8
LOC105317136,uncharacterized LOC105317136,Q05B92.1,3.77e-28,W02C12.3h.2,5.02e-25,Mitf-PC,6.66e-08,XP_783071.4,1.37e-26
LOC105317137,perlucin,P82596.3,1.19e-22,K02F3.5.1,1.27e-08,tfc-PC,1.67e-16,XP_030828651.1,1.01e-17
LOC105317138,perlucin,P82596.3,6.47e-28,W04E12.6.1,4.96e-10,tfc-PC,2.95e-19,XP_030846891.1,5.06e-20
LOC105317155,"pyruvate dehydrogenase protein X component, mitochondrial",Q8BKZ9.1,7.87e-131,F23B12.5.2,1.3e-89,muc-PA,2.32e-66,XP_030845280.1,9.83e-119
LOC105317154,insulin-like growth factor 2 mRNA-binding protein 2,O42254.1,1.02e-105,M88.5b.1,2.22e-43,Imp-PM,6.28e-106,XP_030829879.1,2.34e-105
LOC105317160,uncharacterized LOC105317160,Q5FW57.3,9.3,ZK783.1g.1,0.006,pre-lola-G-PD,1.6,XP_030847301.1,0.007
LOC105317162,adenosylhomocysteinase A,P51893.1,0,K02F2.2.2,0,Ahcy-PC,0,XP_780172.1,0
LOC105317164,sonic hedgehog protein A,Q98938.1,6.45e-132,ZK1037.10.1,3.67e-16,hh-PB,1.28e-111,NP_001012720.1,2.43e-120
LOC105317165,complement C1q-like protein 3,Q9BXX0.3,2.1e-11,W10D5.2.2,2.5,CG13671-PA,2.3,XP_790097.4,2.03e-06
LOC105317166,collagen alpha-2(VIII) chain,P25067.2,1.08e-12,F42G9.5b.2,0.33,,,XP_003724148.1,1.6e-05
LOC105317167,uncharacterized LOC105317167,Q01262.1,2.11e-25,Y38F2AR.12a.1,8.31e-09,CG4752-PA,6.46e-09,XP_030854360.1,0
LOC105317169,protein mono-ADP-ribosyltransferase PARP16,Q5U2Q4.1,1.64e-84,ZK1005.1b.1,0.86,Parp16-PA,1.34e-10,XP_787279.3,8.31e-84
LOC105317170,uncharacterized LOC105317170,Q8BW86.3,3.49e-19,R02F2.2.1,1.41e-14,CG43102-PD,4.92e-12,XP_030855147.1,5.97e-30
LOC105317171,angiopoietin-4,Q24K15.1,3.16e-37,D1009.3b.1,1.11e-09,CG41520-PD,7.94e-31,XP_781712.2,8.92e-31
LOC105317172,adenylate kinase isoenzyme 6,A5PJA1.1,7.07e-86,E02H1.6.1,4.94e-58,Ak6-PA,1.82e-60,XP_799000.3,1.11e-85
LOC105317173,protein PFC0760c,Q5ZM60.1,0.49,C52E12.4.1,0.46,,,XP_030832344.1,0.004
LOC105317174,G2/mitotic-specific cyclin-B,P24862.1,3.18e-178,ZC168.4.4,2.82e-45,CycB-PC,3.69e-88,NP_001028696.1,4.6e-121
