gene_id	gene_short_name	cell_group	marker_score	mean_expression	fraction_expressing	specificity	pseudo_R2	marker_test_p_value	marker_test_q_value	gene_ID	unitpro	up_evalue	cel	cel_evalue	dmel	dmel_evalue	spur_acc	spur_evalue	Gene Type	Protein accession
LOC105318289	LOC105318289	3	0.591885343	12.92274816	0.972292191	0.608752542	0.766403138	9.09E-235	2.78E-229	centrosome and spindle pole-associated protein 1	B2RX88.2	0.007	F47D12.4c.2	1.5	CG15563-PA	0.000416	XP_001195971.3	5.07E-16	protein-coding	XP_034328674.1
LOC109619311	LOC109619311	3	0.589626926	34.33253604	0.992443325	0.594116471	0.769609336	5.96E-236	1.82E-230	uncharacterized LOC109619311_ncRNA									lncRNA	
LOC105333118	LOC105333118	3	0.571732184	3.756603348	0.921914358	0.620157587	0.680000936	1.07E-203	3.26E-198	forkhead-associated domain-containing protein 1	A6PWD2.1	5.01E-65	C18H9.8a.1	0.000246	CG6398-PB	0.13	XP_030835452.1	0	protein-coding	XP_011434246.2
LOC105337196	LOC105337196	3	0.559755262	4.988926672	0.904282116	0.619005122	0.648656037	8.40E-193	2.57E-187	EF-hand calcium-binding domain-containing protein 6	Q5THR3.1	2.24E-25	C24H10.5.1	4.31E-06	CG11638-PA	4.11E-05	XP_030835414.1	0	protein-coding	XP_011440138.1
LOC105328679	LOC105328679	3	0.554769408	2.439225873	0.861460957	0.64398671	0.614908516	2.79E-181	8.52E-176	zinc finger protein castor homolog 1	Q9CWL2.3	2.12E-91	K05F1.13.1	0.000368	cas-PC	1.87E-87	XP_030843227.1	1.92E-84	protein-coding	XP_011427960.2
LOC105335693	LOC105335693	4	0.560629978	5.990765663	0.941747573	0.595308121	0.670433126	9.75E-176	2.98E-170	uncharacterized LOC105335693	O30004.1	1	T07C12.11.1	0.31	CG12699-PB	4.4	XP_030850118.1	2.96E-19	protein-coding	XP_011438026.2
LOC105317582	LOC105317582	4	0.536644622	7.67309311	0.961165049	0.558327233	0.661757386	3.80E-173	1.16E-167	"tryptophan 2,3-dioxygenase"	P20351.1	2.68E-152	C28H8.11a.2	5.02E-139	v-PA	1.22E-150	XP_030836965.1	3.90E-138	protein-coding	XP_011412571.2
LOC105327435	LOC105327435	4	0.531400461	4.09594456	0.906148867	0.586438365	0.59784277	2.17E-154	6.65E-149	universal stress protein Slr1101	P74148.1	1.19E-08	R05D11.1.1	0.32	CG42541-PF	3.1	XP_030844609.1	0.34	protein-coding	XP_011426215.1
LOC105337948	LOC105337948	4	0.486875546	8.359018665	0.996763754	0.488456311	0.703499372	1.04E-185	3.17E-180	transcriptional regulator Myc-A	Q17103.1	2.03E-40	T19B10.11.1	1.77E-07	Myc-PA	4.20E-10	NP_999744.1	7.33E-31	protein-coding	XP_011441199.2
LOC105333580	LOC105333580	4	0.43612084	3.012657104	0.805825243	0.541210199	0.430467001	8.55E-108	2.61E-102	5-phosphohydroxy-L-lysine phospho-lyase	Q8TBG4.1	0	T01B11.2a.2	1.22E-141	CG8745-PA	0	XP_793741.4	0	protein-coding	XP_034312954.1
LOC105345408	LOC105345408	5	0.569684428	6.410551206	0.913705584	0.623487957	0.571413752	1.78E-114	5.45E-109	quinone reductase-like	Q93T20.1	6.30E-16	W06D12.2.1	0.24	Gdn1-PA	5.4	XP_030830078.1	3.02E-51	protein-coding	XP_011451842.1
LOC105339352	LOC105339352	5	0.558774192	2.395454272	0.852791878	0.655229261	0.570590771	2.68E-114	8.21E-109	zinc finger protein ZIC 4	A0JC51.1	6.14E-136	C47C12.3a.2	6.55E-57	opa-PA	4.53E-100	XP_030837642.1	7.88E-129	protein-coding	XP_034329812.1
LOC105324760	LOC105324760	5	0.520371127	13.03507306	0.974619289	0.533922459	0.618524099	9.81E-125	3.00E-119	uncharacterized LOC105324760	Q7KM13.1	0.002	C32E12.3.1	1.2	Hey-PA	0.000198	XP_011662791.1	1.65E-06	protein-coding	XP_011422224.2
LOC105333225	LOC105333225	5	0.504692553	4.146108312	0.776649746	0.649832895	0.445011683	9.40E-88	2.88E-82	T-box brain protein 1	Q64336.2	1.91E-91	F21H11.3.2	6.33E-55	byn-PC	1.92E-60	XP_791266.2	1.23E-90	protein-coding	XP_034310283.1
LOC105339321	LOC105339321	5	0.488185695	2.834086439	0.781725888	0.624497286	0.462602941	2.10E-91	6.42E-86	T-box-containing protein TBX6L	D3ZJK7.1	2.36E-52	F21H11.3.2	7.97E-49	Doc2-PA	9.22E-49	XP_011680189.2	4.19E-49	protein-coding	XP_011443115.2
LOC105347625	LOC105347625	6	0.628181834	16.05828956	0.97826087	0.642141431	0.795536045	3.84E-158	1.17E-152	paired box protein Pax-6	Q9UBX0.1	1.95E-14	D1007.1.1	2.45E-12	PHDP-PA	2.60E-12	XP_003729834.1	1.81E-11	protein-coding	XP_034306784.1
LOC105335058	LOC105335058	6	0.528322497	9.732808285	0.983695652	0.537079224	0.697488807	1.26E-136	3.86E-131	THO complex subunit 3-like	Q96J01.1	1.20E-177	F32H2.4.1	3.59E-50	tex-PA	1.77E-154	XP_011662647.2	4.50E-179	protein-coding	XP_034329501.1
LOC105317254	LOC105317254	6	0.527987171	2.767645786	0.85326087	0.618787512	0.562230683	4.09E-108	1.25E-102	uncharacterized LOC105317254	P60322.2	3.94E-20	R03D7.7.1	4.32E-07	nos-PB	2.97E-13	XP_030841829.1	8.16E-20	protein-coding	XP_011412138.2
LOC105323051	LOC105323051	6	0.507978809	2.379453018	0.804347826	0.631541222	0.506883853	8.17E-97	2.50E-91	transcription factor Sp5	Q6BEB4.1	3.27E-62	Y40B1A.4.1	8.51E-43	Sp1-PB	1.66E-50	XP_789110.2	1.26E-60	protein-coding	XP_011420310.2
LOC105339015	LOC105339015	6	0.507185656	2.666740604	0.798913043	0.634844631	0.511743963	8.47E-98	2.59E-92	uncharacterized LOC105339015	O80875.1	1.7	K11D12.12.1	0.064	CG6420-PB	0.9	XP_030835648.1	1.1	protein-coding	XP_034301419.1
LOC105336795	LOC105336795	7	0.850158461	29.02020448	0.988095238	0.860401334	0.908778072	3.69E-111	1.13E-105	paired mesoderm homeobox protein 2	O97039.1	1.58E-25	F58E6.10a.1	3.00E-49	CG32532-PC	1.83E-69	XP_785238.2	1.47E-23	protein-coding	XP_011439562.1
LOC105348737	LOC105348737	7	0.839233428	9.07244201	0.964285714	0.870316147	0.844879572	8.14E-103	2.49E-97	"POU domain, class 4, transcription factor 3"	P24350.3	2.97E-102	C30A5.7a.1	2.30E-79	acj6-PH	2.02E-94	XP_786727.2	5.08E-98	protein-coding	XP_011456596.1
LOC105335420	LOC105335420	7	0.798434057	17.28652772	0.964285714	0.828005689	0.83361213	2.35E-101	7.17E-96	neurogenic differentiation factor 1	Q92886.2	7.92E-24	Y69A2AR.29.1	7.34E-19	tap-PA	5.71E-21	XP_003728087.2	5.60E-31	protein-coding	XP_011437570.2
LOC105318387	LOC105318387	7	0.793796867	5.282629374	0.94047619	0.844037175	0.811568465	1.65E-98	5.03E-93	SPRY domain-containing SOCS box protein 3	Q5M9B1.1	3.16E-32	Y46E12BL.4b.1	1.08E-17	SP555-PD	3.14E-88	XP_780661.1	2.40E-81	protein-coding	XP_011413771.2
LOC105327195	LOC105327195	7	0.765605327	4.631450766	0.892857143	0.857477966	0.751456883	8.17E-91	2.50E-85	zinc finger protein 768	Q17895.2	7.21E-48	C10A4.8.1	6.35E-49	erm-PB	1.21E-42	XP_011673664.2	6.58E-89	protein-coding	XP_019922322.2
Crt	Crt	8	0.516261096	36.79764389	1	0.516261096	0.614986519	2.23E-60	6.83E-55	calreticulin	P15253.1	0	Y38A10A.5.2	3.97E-165	Calr-PB	7.67E-127	XP_030835922.1	0	protein-coding	NP_001292262.1
LOC105340061	LOC105340061	8	0.472315	26.63647464	0.967741935	0.488058833	0.414595962	1.15E-40	3.51E-35	somatomedin-B and thrombospondin type-1 domain-containing protein	Q8IVN8.2	4.73E-35	R17.3c.1	2.06E-25	CG42339-PB	1.12E-29	XP_030848395.1	3.32E-26	protein-coding	XP_011444200.1
LOC105328829	LOC105328829	8	0.453464996	11.77036836	0.935483871	0.484738444	0.387764997	4.52E-38	1.38E-32	contactin-5	Q9VN14.2	1.38E-139	Y54G2A.25a.1	2.09E-50	Cont-PA	1.39E-134	XP_030829353.1	3.37E-93	protein-coding	XP_034310998.1
LOC105331830	LOC105331830	8	0.438584691	26.09459094	0.951612903	0.460885608	0.444343275	1.48E-43	4.53E-38	uncharacterized LOC105331830	E1BBQ2.2	5.25E-13	R03H10.11.1	0.066	CG31195-PB	2.21E-70	XP_030831956.1	6.24E-25	protein-coding	XP_034336202.1
LOC105327330	LOC105327330	8	0.432039325	29.8238647	1	0.432039325	0.697268897	1.20E-68	3.67E-63	innexin unc-9	O01393.1	4.31E-97	R12H7.1a.1	3.80E-98	ogre-PF	1.17E-17	XP_030830617.1	5.6	protein-coding	XP_011426041.1
