gene_id	gene_short_name	cell_group	marker_score	mean_expression	fraction_expressing	specificity	pseudo_R2	marker_test_p_value	marker_test_q_value	gene_ID	unitpro	up_evalue	cel	cel_evalue	dmel	dmel_evalue	spur_acc	spur_evalue	Gene Type	Protein accession
LOC117692972	LOC117692972	7	0.367637499	2.484559917	0.793851718	0.463106007	0.385399637	4.18E-154	1.60E-148	sal-like protein 1	Q9ER74.1	2.30E-08	T03F6.2.1	4.1	CG42458-PA	0.35	XP_030832052.1	0.000196	protein-coding	XP_034338578.1
LOC105340555	LOC105340555	7	0.350080966	1.130240416	0.647377939	0.540767525	0.335613499	7.04E-134	2.69E-128	serine/threonine-protein kinase PLK1	Q9NYY3.3	1.08E-175	Y71F9B.7.1	3.48E-150	polo-PB	2.04E-104	XP_030851417.1	0	protein-coding	XP_011444987.2
LOC117692552	LOC117692552	8	0.371270514	5.381227286	0.828767123	0.447979297	0.333270754	7.98E-94	3.05E-88	vicilin-like seed storage protein At2g18540	Q3V0F0.2	0.000476	K03A11.3.1	3			XP_030841847.1	2.73E-07	protein-coding	XP_034336699.1
LOC117681344	LOC117681344	8	0.355661896	12.82309848	0.808219178	0.440056244	0.225623616	1.02E-63	3.89E-58	uncharacterized LOC117681344	Q5JXM2.1	2.10E-11	Y40H7A.2a.1	4.85E-11	mbf1-PC	0.001	XP_780651.4	1.6	protein-coding	XP_034301261.1
LOC105340116	LOC105340116	8	0.352933988	3.106709049	0.702054795	0.502715729	0.320521931	3.07E-90	1.17E-84	sodium/calcium exchanger 2	P48766.1	1.45E-138	C10G8.5b.1	1.45E-70	Calx-PC	1.20E-115	XP_030832703.1	0	protein-coding	XP_011444281.2
LOC105344648	LOC105344648	8	0.351067601	18.78874667	0.955479452	0.36742559	0.260702202	1.73E-73	6.60E-68	elongation of very long chain fatty acids protein 4	Q3S8M4.1	1.05E-111	F56H11.3.1	1.14E-18	CG31522-PF	9.37E-68	XP_030845097.1	2.18E-106	protein-coding	XP_011450775.2
LOC105341304	LOC105341304	8	0.342202938	3.518211599	0.726027397	0.471336122	0.294203505	7.42E-83	2.83E-77	fibrocystin-L-like	Q86WI1.2	0	C39E9.2.1	2.44E-22	CG8483-PA	7.15E-13	XP_030842165.1	0	protein-coding	XP_034300577.1
LOC105318387	LOC105318387	9	0.638449021	3.850389532	0.889312977	0.717912634	0.677708812	1.41E-180	5.40E-175	SPRY domain-containing SOCS box protein 3	Q5M9B1.1	3.16E-32	Y46E12BL.4b.1	1.08E-17	SP555-PD	3.14E-88	XP_780661.1	2.40E-81	protein-coding	XP_011413771.2
LOC105346085	LOC105346085	9	0.628314598	12.62431234	0.980916031	0.640538618	0.753559073	1.88E-201	7.19E-196	tumor necrosis factor receptor superfamily member 16	Q9Z0W1.2	1.49E-36	B0350.2d.1	0.99	Ank-PE	0.007	XP_030830229.1	7.13E-47	protein-coding	XP_011452846.2
LOC105339662	LOC105339662	9	0.589682413	9.481202562	0.961832061	0.613082509	0.68195808	9.67E-182	3.70E-176	T-box transcription factor T	P24781.1	3.12E-155	F21H11.3.2	3.82E-61	byn-PC	1.24E-99	XP_030850405.1	2.84E-121	protein-coding	XP_034333225.1
LOC109618378	LOC109618378	9	0.551206655	3.420394894	0.778625954	0.707922273	0.52090518	5.24E-138	2.00E-132	uncharacterized LOC109618378	A7TRZ7.1	0.39	C52E12.1.1	0.11	CG6686-PB	9.2	XP_030836334.1	0.51	protein-coding	XP_019921522.2
LOC105348737	LOC105348737	9	0.549898217	9.334926436	0.965648855	0.569459813	0.67521997	6.79E-180	2.59E-174	"POU domain, class 4, transcription factor 3"	P24350.3	2.97E-102	C30A5.7a.1	2.30E-79	acj6-PH	2.02E-94	XP_786727.2	5.08E-98	protein-coding	XP_011456596.1
LOC105333366	LOC105333366	10	0.517828141	5.407854542	0.955555556	0.54191317	0.531413554	9.66E-71	3.69E-65	bone morphogenetic protein 2	P49001.1	2.72E-110	T25F10.2.2	3.39E-42	dpp-PA	6.05E-67	XP_030854133.1	1.37E-104	protein-coding	XP_011434596.1
LOC109617465	LOC109617465	10	0.43405359	5.647608926	0.988888889	0.438930597	0.447180527	1.11E-59	4.25E-54	homeobox protein 4	Q9BYU1.2	1.48E-08	F31E3.1.1	7.83E-08	exd-PE	6.84E-09	XP_030853236.1	1.02E-07	protein-coding	XP_019919189.2
LOC105335420	LOC105335420	10	0.413427714	22.79573755	0.977777778	0.422823798	0.461994377	1.27E-61	4.86E-56	neurogenic differentiation factor 1	Q92886.2	7.92E-24	Y69A2AR.29.1	7.34E-19	tap-PA	5.71E-21	XP_003728087.2	5.60E-31	protein-coding	XP_011437570.2
LOC105343129	LOC105343129	10	0.399484797	17.57597522	1	0.399484797	0.531738558	8.76E-71	3.35E-65	protein Wnt-4	P49337.1	5.90E-160	K10B4.6a.1	3.74E-112	Wnt2-PA	5.93E-77	XP_030842454.1	3.14E-161	protein-coding	XP_011448637.1
LOC105347109	LOC105347109	10	0.376317198	2.622048138	0.922222222	0.408054793	0.342022773	6.18E-46	2.36E-40	protocadherin-11 X-linked	Q6KEQ9.1	1.14E-121	F15B9.7a.1	6.10E-68	ds-PB	6.99E-99	XP_787157.2	4.68E-100	protein-coding	XP_011454316.2
