gene_id	gene_short_name	cell_group	marker_score	mean_expression	fraction_expressing	specificity	pseudo_R2	marker_test_p_value	marker_test_q_value	gene_ID	unitpro	up_evalue	cel	cel_evalue	dmel	dmel_evalue	spur_acc	spur_evalue	Gene Type	Protein accession
LOC105334469	LOC105334469	8	0.29952398	4.554571639	0.878177966	0.341074351	0.549704589	5.04E-302	5.20E-296	leucine-rich repeat-containing protein 15	Q8R5M3.1	2.13E-44	T21D12.9c.2	3.39E-28	atk-PC	5.51E-31	XP_030828123.1	1.96E-28	protein-coding	XP_011436222.2
LOC105323230	LOC105323230	8	0.283360078	5.433197135	0.903601695	0.313589582	0.491549551	3.19E-269	3.29E-263	microsomal triglyceride transfer protein large subunit-like	A0A0R4IVV0.1	1.21E-114	K02D7.4.1	3.64E-07	Mtp-PA	1.14E-57	XP_788526.4	4.79E-121	protein-coding	XP_011420570.2
LOC105334531	LOC105334531	8	0.262973133	1.227162713	0.583686441	0.450538361	0.328018191	2.25E-178	2.32E-172	sarcoplasmic calcium-binding protein	P02637.1	2.82E-59	T09A5.1b.1	0.003	CBP-PB	1.50E-07	XP_030836181.1	0.27	protein-coding	XP_011436324.1
LOC105345408	LOC105345408	9	0.291860182	21.14868264	0.934078212	0.31245797	0.451608323	1.20E-240	1.24E-234	quinone reductase-like	Q93T20.1	6.30E-16	W06D12.2.1	0.24	Gdn1-PA	5.4	XP_030830078.1	3.02E-51	protein-coding	XP_011451842.1
LOC105339321	LOC105339321	9	0.268164885	3.626830952	0.6	0.446941475	0.29953654	1.00E-158	1.04E-152	T-box-containing protein TBX6L	D3ZJK7.1	2.36E-52	F21H11.3.2	7.97E-49	Doc2-PA	9.22E-49	XP_011680189.2	4.19E-49	protein-coding	XP_011443115.2
LOC105345833	LOC105345833	9	0.265370652	7.953392568	0.633519553	0.418883128	0.258199108	9.86E-137	1.02E-130	guanine deaminase	Q5RAV9.1	1.69E-156	F38E11.3.1	1.41E-12	DhpD-PA	2.42E-114	XP_030855907.1	3.03E-141	protein-coding	XP_011452452.2
LOC105321684	LOC105321684	9	0.245743576	6.432364952	0.661452514	0.371521116	0.296626138	3.58E-157	3.69E-151	hyccin	Q6P9N1.3	4.14E-71	D1069.3b.1	3.69E-27	Hyccin-PA	5.16E-46	XP_030830379.1	4.67E-50	protein-coding	XP_011418379.1
LOC105345931	LOC105345931	9	0.243089211	7.008247708	0.632402235	0.384390183	0.292226397	7.93E-155	8.18E-149	homeobox protein prospero	P29617.3	5.33E-80	K12H4.1.1	3.04E-68	pros-PL	2.86E-80	XP_030854159.1	1.33E-76	protein-coding	XP_011452606.1
LOC105333508	LOC105333508	10	0.277294582	1.504799406	0.815827338	0.339893712	0.485981828	8.03E-229	8.28E-223	uncharacterized LOC105333508	Q0TY47.1	1.9	K03B4.6.1	0.15			XP_030854937.1	4.17E-20	protein-coding	XP_034323096.1
LOC105327243	LOC105327243	10	0.274990836	4.300220102	0.948201439	0.290013098	0.589815971	5.89E-279	6.08E-273	zinc finger C2HC domain-containing protein 1C	Q6AYP4.1	1.37E-35	T03G11.3.1	1.26E-16	CG42675-PD	1.94E-29	XP_781236.2	1.43E-36	protein-coding	XP_011425895.2
LOC105336945	LOC105336945	10	0.271564664	3.700124713	0.91942446	0.295363758	0.598183945	5.04E-283	5.20E-277	vicilin-like seed storage protein At2g18540	Q9VMA7.2	1.32E-05	F47A4.2.1	0.000798			XP_030829670.1	2.23E-06	protein-coding	XP_011439755.2
LOC105331817	LOC105331817	10	0.265289072	5.952286983	0.965467626	0.274777802	0.602095402	6.31E-285	6.51E-279	hydrocephalus-inducing protein	Q4G0P3.3	0	Y79H2A.3a.1	0.000466	cass-PA	7	XP_030833771.1	0	protein-coding	XP_034336217.1
LOC105339469	LOC105339469	10	0.263088578	9.954327006	0.981294964	0.268103463	0.636045884	1.77E-301	1.83E-295	cilia- and flagella-associated protein 44	Q96MT7.2	0	F38A6.2a.2	1.41E-09	CG34124-PA	2.94E-144	XP_030833851.1	0	protein-coding	XP_011443337.2
LOC105338907	LOC105338907	11	0.756420408	125.7754643	0.987321712	0.766133672	0.908649652	0	0	"myosin heavy chain, striated muscle"	P24733.1	0	F11C3.3.3	0	Mhc-PU	0	XP_003727482.1	0	protein-coding	XP_011442514.2
LOC105330417	LOC105330417	11	0.699236762	5.660720498	0.865293185	0.808092302	0.717157149	0	0	uncharacterized LOC105330417	Q5ZIZ2.1	2.06E-17	T22A3.4b.1	0.000104	Smyd5-PA	1.95E-12	XP_030841506.1	7.27E-23	protein-coding	XP_011430386.2
LOC105318379	LOC105318379	11	0.692639407	6.195073517	0.949286846	0.729641846	0.824901835	0	0	zinc finger CCHC domain-containing protein 24	Q8N2G6.1	1.89E-78	Y43E12A.2.1	6.84E-27	dec-PG	5.4	XP_030834918.1	2.09E-80	protein-coding	XP_011413744.1
LOC105348570	LOC105348570	11	0.646905628	51.10654855	0.993660856	0.651032617	0.873128085	0	0	"troponin T, skeletal muscle"	Q9XZ71.1	1.48E-30	T22E5.5.2	2.67E-26	up-PT	1.53E-23	XP_030834105.1	5.38E-05	protein-coding	XP_011456357.1
LOC105330418	LOC105330418	11	0.639412358	4.353357323	0.849445325	0.75274104	0.669896598	2.15E-302	2.22E-296	uncharacterized LOC105330418	Q6GMV2.2	1.55E-15	F52H3.5.1	0.004	Stip1-PA	3.83E-06	XP_030841813.1	8.16E-16	protein-coding	XP_011430388.2
LOC105342146	LOC105342146	12	0.266907132	6.859459458	0.869642857	0.306915799	0.433461326	4.68E-182	4.83E-176	tctex1 domain-containing protein 1	A2VDD2.1	5.22E-26	D1009.5.1	3.69E-10	CG7276-PB	1.32E-08	XP_793740.1	2.43E-33	protein-coding	XP_034303909.1
LOC105339152	LOC105339152	12	0.231395169	1.429440717	0.614285714	0.376689811	0.328094191	1.50E-137	1.55E-131	uncharacterized LOC105339152	Q9WZ26.1	2.5	T15B7.1.1	1.6	PIG-L-PD	6.3	XP_030835759.1	3.7	protein-coding	XP_011442889.2
LOC105324245	LOC105324245	12	0.222130268	6.532293214	0.578571429	0.383928859	0.253078262	3.79E-106	3.92E-100	"testis, prostate and placenta-expressed protein"	Q6IMH0.1	7.03E-39	C12C8.2a.1	0.92	CG9682-PC	2.9	XP_782841.2	3.04E-72	protein-coding	XP_034337642.1
LOC105336754	LOC105336754	12	0.215492285	9.978900879	0.503571429	0.427927942	0.2230463	1.22E-93	1.26E-87	electrogenic sodium bicarbonate cotransporter 1	Q80ZA5.1	0	F52B5.1b.1	0	Ndae1-PH	0	XP_003728892.2	0	protein-coding	XP_011439491.2
LOC105338105	LOC105338105	12	0.209723802	5.753441009	0.939285714	0.223280094	0.489216494	8.41E-206	8.68E-200	uncharacterized LOC105338105_ncRNA									lncRNA	
LOC105332393	LOC105332393	13	0.45051193	19.8041581	1	0.45051193	0.82381925	9.28E-295	9.58E-289	paired box protein Pax-6	P63016.1	1.83E-159	F14F3.1a.1	6.33E-123	toy-PA	6.97E-116	XP_030845152.1	1.26E-158	protein-coding	XP_011433287.2
LOC105344310	LOC105344310	13	0.420246505	9.907491412	0.982926829	0.427546072	0.709542477	7.08E-253	7.31E-247	LIM/homeobox protein Lhx5	P61375.1	2.64E-132	ZC247.3.1	3.34E-42	Lim1-PA	2.72E-99	XP_030847226.1	2.27E-73	protein-coding	XP_011450364.1
LOC105344183	LOC105344183	13	0.37784111	28.14104429	0.997560976	0.378764927	0.817324227	2.29E-292	2.36E-286	tolloid-like protein 1	Q8JI28.1	0	F38E9.2.1	0	tok-PC	0	XP_030834881.1	0	protein-coding	XP_034313777.1
LOC105334998	LOC105334998	13	0.370651946	3.472698065	0.868292683	0.426874432	0.537534667	1.24E-190	1.28E-184	protocadherin-9	Q9HC56.2	3.38E-121	F15B9.7a.1	1.43E-57	ft-PA	1.05E-80	XP_787157.2	1.30E-106	protein-coding	XP_011436957.2
LOC105340735	LOC105340735	13	0.295928181	2.597945275	0.751219512	0.393930371	0.432952881	3.03E-153	3.13E-147	poly [ADP-ribose] polymerase 1	P26446.2	5.70E-18	Y71F9AL.18a.1	6.29E-10	Parp-PB	2.51E-08	XP_030854208.1	3.34E-09	protein-coding	XP_011445219.2
LOC105340413	LOC105340413	14	0.363962423	9.097674268	0.945736434	0.384845513	0.644447882	1.03E-221	1.06E-215	isthmin-1	Q5EGE1.1	1.24E-61	C02B4.1.1	0.000481	AdamTS-A-PE	0.033	XP_011682695.2	1.24E-48	protein-coding	XP_011444742.2
LOC105327018	LOC105327018	14	0.327849719	3.155931365	0.713178295	0.459702324	0.411795173	5.02E-141	5.18E-135	uncharacterized LOC105327018	G5ED00.1	2.94E-14	Y39E4B.8.1	2.59E-15	dpr6-PD	1.36E-20	XP_030853396.1	5.25E-06	protein-coding	XP_011425589.1
LOC105348692	LOC105348692	14	0.272107014	4.751064819	0.945736434	0.287719711	0.573638172	5.47E-197	5.64E-191	four-jointed box protein 1	P54360.2	6.80E-89	Y54G2A.17c.2	0.076	fj-PA	7.36E-89	XP_011662184.2	1.22E-82	protein-coding	XP_034332764.1
LOC105346613	LOC105346613	14	0.271883777	4.547295483	0.69250646	0.39260829	0.343647458	1.11E-117	1.14E-111	cytochrome P450 27C1	A8WGA0.2	5.67E-108	ZK177.5.2	2.45E-68	Cyp49a1-PE	3.65E-73	XP_030831852.1	7.62E-123	protein-coding	XP_011453578.2
LOC105345408	LOC105345408	14	0.266276346	17.2445751	0.994832041	0.2676596	0.623625539	1.99E-214	2.05E-208	quinone reductase-like	Q93T20.1	6.30E-16	W06D12.2.1	0.24	Gdn1-PA	5.4	XP_030830078.1	3.02E-51	protein-coding	XP_011451842.1
LOC105339411	LOC105339411	15	0.529183252	2.71103421	0.92513369	0.57200733	0.705275641	2.78E-238	2.87E-232	aromatic-L-amino-acid decarboxylase	P05031.4	0	K01C8.3b.1	0	Ddc-PC	0	XP_030847962.1	0	protein-coding	XP_034301388.1
LOC105348477	LOC105348477	15	0.494262746	3.255037129	0.970588235	0.509240405	0.792587474	1.67E-268	1.72E-262	HHIP-like protein 2	Q14DK5.1	1.16E-71	Y71F9AL.18c.1	0.68	Pi4KIIIalpha-PC	4.9	XP_030855000.1	1.24E-64	protein-coding	XP_019918007.2
LOC105325311	LOC105325311	15	0.485271364	19.28819974	0.99197861	0.489195391	0.849574437	2.37E-288	2.45E-282	sodium- and chloride-dependent taurine transporter	P31647.1	0	T03F7.1.1	8.20E-170	Gat-PA	2.59E-166	XP_030854516.1	0	protein-coding	XP_034303728.1
LOC105343197	LOC105343197	15	0.475093263	5.298908266	0.973262032	0.488145276	0.749561256	1.39E-253	1.43E-247	uncharacterized LOC105343197	Q8N6F8.2	2.00E-26	C14B1.10.2	0.003	Art8-PA	0.082	XP_030851331.1	2.76E-20	protein-coding	XP_011448753.2
LOC105322257	LOC105322257	15	0.443155999	2.637892618	0.901069519	0.491811109	0.652639207	3.60E-220	3.72E-214	uncharacterized LOC105322257	Q3URK1.1	0.000709	F16C3.3.1	9.7	CG13359-PA	0.000257	XP_003724276.1	1.31E-07	protein-coding	XP_011419195.2
LOC117689456	LOC117689456	16	0.611571694	12.46909909	0.97574124	0.626776515	0.856819535	1.67E-289	1.72E-283	uncharacterized LOC117689456_ncRNA									lncRNA	
LOC105318857	LOC105318857	16	0.52738456	5.784643961	0.808625337	0.652198906	0.614624325	3.60E-206	3.71E-200	uncharacterized LOC105318857	Q9PTU3.1	0.99	C27A2.6.1	0.38			XP_030851525.1	3.2	protein-coding	XP_034322088.1
LOC105331844	LOC105331844	16	0.499228844	6.837484476	0.924528302	0.539982219	0.691785564	1.55E-232	1.60E-226	uncharacterized LOC105331844	Q6BNG2.2	0.005	F32B5.8a.1	1.1	RluA-1-PC	5.1	XP_030835828.1	3.4	protein-coding	XP_019924303.2
LOC105328642	LOC105328642	16	0.487837804	12.55597087	0.983827493	0.495857055	0.787276479	2.11E-265	2.18E-259	basement membrane-specific heparan sulfate proteoglycan core protein	P98160.4	0	ZC101.2i.1	1.09E-136	trol-PAK	0	XP_030842937.1	0	protein-coding	XP_011427908.2
LOC117686524	LOC117686524	16	0.462024156	4.209098023	0.940700809	0.491148888	0.732390933	1.77E-246	1.83E-240	angiotensin-converting enzyme-like	Q6Q4G4.1	0	C42D8.5a.2	1.75E-59	Ance-PC	0	XP_003724612.2	0	protein-coding	XP_034317484.1
LOC105334171	LOC105334171	17	0.569867736	8.892508716	0.708108108	0.804775047	0.517372087	6.58E-173	6.79E-167	two pore potassium channel protein sup-9	O17185.2	2.25E-122	F34D6.3.1	1.98E-123	Task6-PE	6.87E-118	XP_030830349.1	3.10E-60	protein-coding	XP_011435831.1
LOC105336795	LOC105336795	17	0.550524556	9.983312962	0.902702703	0.609862532	0.743298033	7.76E-250	8.01E-244	paired mesoderm homeobox protein 2	O97039.1	1.58E-25	F58E6.10a.1	3.00E-49	CG32532-PC	1.83E-69	XP_785238.2	1.47E-23	protein-coding	XP_011439562.1
LOC105348737	LOC105348737	17	0.543496681	30.08850547	0.689189189	0.788603028	0.496713522	6.04E-166	6.23E-160	"POU domain, class 4, transcription factor 3"	P24350.3	2.97E-102	C30A5.7a.1	2.30E-79	acj6-PH	2.02E-94	XP_786727.2	5.08E-98	protein-coding	XP_011456596.1
LOC105320766	LOC105320766	17	0.520167232	13.67426107	0.813513514	0.639408225	0.547578758	4.13E-183	4.26E-177	uncharacterized LOC105320766_ncRNA									lncRNA	
LOC105326826	LOC105326826	17	0.51962147	6.270287598	0.637837838	0.814660779	0.468274286	2.23E-156	2.30E-150	uncharacterized LOC105326826	Q8N7M0.2	3.47E-18	D1009.5.1	1.17E-07	CG5359-PC	3.38E-06	XP_784517.1	9.76E-22	protein-coding	XP_034331489.1
LOC105333253	LOC105333253	18	0.47154968	16.79117145	0.751396648	0.627564258	0.505186343	1.33E-165	1.38E-159	hypothetical protein	Q9SY55.3	5	R11G1.1.1	0.21			XP_030855259.1	3.6	protein-coding	XP_011434451.2
LOC105323015	LOC105323015	18	0.45900982	16.96706077	0.921787709	0.497956108	0.661501245	1.42E-217	1.46E-211	homeobox protein CDX-1	Q90X89.1	1.96E-41	C38D4.6c.4	1.22E-23	cad-PB	1.89E-39	XP_789158.3	2.10E-39	protein-coding	XP_011420260.2
LOC105347171	LOC105347171	18	0.402005935	6.116937439	0.670391061	0.599658853	0.444667835	1.19E-145	1.22E-139	uncharacterized LOC105347171	F4K4C5.1	1.6	C26H9A.2a.1	0.13	yem-PA	1.7	XP_030849733.1	0	protein-coding	XP_034338635.1
LOC105345371	LOC105345371	18	0.359031363	11.92563382	0.784916201	0.457413623	0.473963669	2.69E-155	2.77E-149	homeobox protein Nkx-2.1	P43699.1	9.44E-66	F55B12.1.1	2.27E-35	scro-PA	2.75E-57	NP_999800.1	2.96E-63	protein-coding	XP_011451803.1
LOC105339015	LOC105339015	18	0.306923576	4.766251569	0.734636872	0.417789506	0.41735632	1.11E-136	1.15E-130	uncharacterized LOC105339015	O80875.1	1.7	K11D12.12.1	0.064	CG6420-PB	0.9	XP_030835648.1	1.1	protein-coding	XP_034301419.1
LOC105328839	LOC105328839	19	0.731666849	11.9238014	0.836477987	0.874699466	0.696377428	1.13E-213	1.17E-207	uncharacterized LOC105328839	Q5U2Q4.1	0.72	Y105C5A.1.1	0.54	CG31817-PB	4	XP_030829936.1	1.5	protein-coding	XP_034312373.1
LOC105347430	LOC105347430	19	0.704947817	19.04241996	0.817610063	0.862205407	0.65603173	4.16E-201	4.29E-195	protein nanos	P60321.1	3.32E-17	Y53C12B.3a.2	3.50E-05	nos-PB	1.07E-12	NP_001073023.1	1.07E-16	protein-coding	XP_011454832.3
LOC105327445	LOC105327445	19	0.632741495	21.53959525	0.921383648	0.686729678	0.699792229	9.71E-215	1.00E-208	sperm-specific protein PHI-2B/PHI-3	Q3HNG7.1	5.91E-12	C18G1.5.1	9.40E-09			XP_030839851.1	5.41E-08	protein-coding	XP_011426236.2
LOC105318512	LOC105318512	19	0.631886509	7.547699575	0.779874214	0.810241573	0.60305512	1.15E-184	1.19E-178	mucin-5AC	P39217.1	0.56	C09D1.1l.1	0.43			XP_001195120.2	3.32E-17	protein-coding	XP_011413998.2
LOC105335618	LOC105335618	19	0.602051231	4.509610708	0.767295597	0.784640538	0.585233944	3.79E-179	3.91E-173	uncharacterized LOC105335618	O22184.2	0.19	CD4.2.1	0.088	Fem-1-PA	3	XP_011663284.2	8.17E-83	protein-coding	XP_034338648.1
LOC117683259	LOC117683259	20	0.757078266	3.02669266	0.913357401	0.828895968	0.821783756	1.54E-232	1.59E-226	glycoprotein 3-alpha-L-fucosyltransferase A-like	Q9VUL9.2	2.77E-30	K08F8.3.2	2.35E-27	FucTA-PB	2.35E-24	XP_030849534.1	5.35E-27	protein-coding	XP_034308227.1
LOC105349206	LOC105349206	20	0.752544104	3.554731257	0.935018051	0.804844467	0.830643653	4.28E-235	4.41E-229	uncharacterized LOC105349206	E9D269.1	0.79	T11B7.1.1	7	MED20-PA	2.8	XP_030852618.1	0.69	protein-coding	XP_011457209.2
LOC105338896	LOC105338896	20	0.741565428	5.063258599	0.884476534	0.838422953	0.757991306	3.60E-214	3.71E-208	stromelysin-3	Q9JHI0.1	5.57E-61	C31B8.8.1	7.33E-36	Mmp1-PL	2.96E-62	XP_030835862.1	7.08E-71	protein-coding	XP_011442491.2
